# hostname;interval;timestamp;tps;rtps;wtps;bread/s;bwrtn/s
osd1;1;2021-04-26 10:01:26 UTC;583.00;0.00;583.00;0.00;217472.00
osd1;1;2021-04-26 10:01:27 UTC;603.00;0.00;603.00;0.00;223183.00
osd1;1;2021-04-26 10:01:28 UTC;481.00;0.00;481.00;0.00;168856.00
osd1;1;2021-04-26 10:01:29 UTC;495.00;0.00;495.00;0.00;191071.00
osd1;1;2021-04-26 10:01:30 UTC;547.00;0.00;547.00;0.00;192088.00
osd1;1;2021-04-26 10:01:31 UTC;562.00;0.00;562.00;0.00;200263.00
osd1;1;2021-04-26 10:01:32 UTC;540.00;0.00;540.00;0.00;192012.00
osd1;1;2021-04-26 10:01:33 UTC;374.00;0.00;374.00;0.00;126713.00
osd1;1;2021-04-26 10:01:34 UTC;668.00;0.00;668.00;0.00;223730.00
osd1;1;2021-04-26 10:01:35 UTC;648.00;0.00;648.00;0.00;164227.00
osd1;1;2021-04-26 10:01:36 UTC;1953.00;1620.00;333.00;590336.00;45680.00
osd1;1;2021-04-26 10:01:37 UTC;1018.00;995.00;23.00;286208.00;396.00
osd1;1;2021-04-26 10:01:38 UTC;540.00;512.00;28.00;163840.00;415.00
osd1;1;2021-04-26 10:01:39 UTC;454.00;410.00;44.00;131072.00;2064.00
osd1;1;2021-04-26 10:01:40 UTC;768.00;752.00;16.00;229376.00;248.00
osd1;1;2021-04-26 10:01:41 UTC;1061.00;1050.00;11.00;401408.00;196.00
osd1;1;2021-04-26 10:01:42 UTC;229.00;217.00;12.00;73728.00;233.00
osd1;1;2021-04-26 10:01:43 UTC;650.00;644.00;6.00;221184.00;47.00
osd1;1;2021-04-26 10:01:44 UTC;536.00;528.00;8.00;204800.00;1328.00
osd1;1;2021-04-26 10:01:45 UTC;667.00;645.00;22.00;234368.00;302.00
