# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s
node1;1;2021-04-26 09:58:51 UTC;eth0;29.00;28.00;12.07;19.93;0.00;0.00;0.00
osd1;1;2021-04-26 09:59:09 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:59:09 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:59:09 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:59:09 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:59:00 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:59:10 UTC;eth0;67444.00;36017.00;97907.69;49669.54;0.00;0.00;0.00
node1;1;2021-04-26 09:58:51 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:59:00 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:58:51 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:59:01 UTC;eth0;76983.00;43611.00;111886.24;60457.38;0.00;0.00;0.00
osd1;1;2021-04-26 09:59:10 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:59:10 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
